occupation_group,month,occupation_label,ai_exposure,automation_prone,augmentation_prone,employment_share,source_note,post_chatgpt,high_exposure,treated,base_employment,employment_rate,log_wage
food_prep,2021-01-01,Food Preparation and Serving,0.2,0.25,0.75,0.07,Low cognitive; some automation,0,0,0,0.655,0.6950502499244372,10.776302049021746
building_grounds,2021-01-01,Building and Grounds Cleaning,0.18,0.3,0.7,0.03,Physical task barrier,0,0,0,0.6459999999999999,0.6696331802023439,10.800517340604882
personal_care,2021-01-01,Personal Care and Service,0.22,0.15,0.85,0.03,Interpersonal barrier,0,0,0,0.6729999999999999,0.6829708410653207,10.784913232744492
sales,2021-01-01,Sales and Related,0.55,0.4,0.6,0.09,Mixed automation/augmentation,0,1,0,0.6279999999999999,0.605027605600136,10.772102248144432
office_admin,2021-01-01,Office and Administrative Support,0.75,0.55,0.45,0.12,High displacement risk (World Bank 2025),0,1,0,0.601,0.5750771696255995,10.764578704400368
farming,2021-01-01,Farming Fishing Forestry,0.15,0.2,0.8,0.01,Physical outdoor work,0,0,0,0.6639999999999999,0.6737185860082879,10.757556388834397
construction,2021-01-01,Construction and Extraction,0.2,0.25,0.75,0.05,Physical task barrier,0,0,0,0.655,0.677994459487635,10.746429896282256
installation,2021-01-01,Installation Maintenance Repair,0.25,0.2,0.8,0.04,Skilled manual work,0,0,0,0.6639999999999999,0.6890338268737863,10.805397393709372
production,2021-01-01,Production,0.35,0.45,0.55,0.06,Manufacturing automation exposure,0,0,0,0.619,0.6039576026823646,10.796814372749802
transportation,2021-01-01,Transportation and Material Moving,0.3,0.4,0.6,0.08,Mixed; logistics automation,0,0,0,0.6279999999999999,0.6527042354950827,10.787499304957635
management,2021-02-01,Management,0.72,0.35,0.65,0.06,Eloundou et al. 2023; high cognitive exposure,0,1,0,0.637,0.6447546798985685,10.826109670520436
business_financial,2021-02-01,Business and Financial,0.78,0.4,0.6,0.06,IMF 2024 advanced economy exposure,0,1,0,0.6279999999999999,0.6716048514501972,10.736125636914762
computer_math,2021-02-01,Computer and Mathematical,0.85,0.25,0.75,0.04,High exposure; augmentation-dominant,0,1,0,0.655,0.6593049422720743,10.834977037635822
architecture_engineering,2021-02-01,Architecture and Engineering,0.68,0.3,0.7,0.02,STEM augmentation pattern,0,1,0,0.6459999999999999,0.6412025627513098,10.910601628208013
life_physical_social,2021-02-01,Life Physical and Social Science,0.55,0.25,0.75,0.01,Research augmentation,0,1,0,0.655,0.6391698251428646,10.733970623826028
community_social,2021-02-01,Community and Social Service,0.35,0.15,0.85,0.02,Human interaction barrier,0,0,0,0.6729999999999999,0.6659494733465954,10.806528767067745
legal,2021-02-01,Legal,0.8,0.45,0.55,0.01,High LLM task exposure,0,1,0,0.619,0.5919199955400973,10.80496281344086
education,2021-02-01,Education Training Library,0.45,0.2,0.8,0.06,Partial automation; strong complementarity,0,0,0,0.6639999999999999,0.6477844352845952,10.743370485376841
arts_media,2021-02-01,Arts Design Entertainment Media,0.6,0.35,0.65,0.02,Generative AI exposure,0,1,0,0.637,0.6589803694706962,10.822074018448088
healthcare_practitioners,2021-02-01,Healthcare Practitioners,0.4,0.1,0.9,0.06,Low substitution; high complementarity,0,0,0,0.6819999999999999,0.6864312086944793,10.79349008560824
healthcare_support,2021-02-01,Healthcare Support,0.3,0.2,0.8,0.03,Physical + interpersonal tasks,0,0,0,0.6639999999999999,0.676431692447165,10.78820137990342
protective_service,2021-02-01,Protective Service,0.25,0.15,0.85,0.02,Physical/security barrier,0,0,0,0.6729999999999999,0.7018104891392606,10.778622459519994
food_prep,2021-02-01,Food Preparation and Serving,0.2,0.25,0.75,0.07,Low cognitive; some automation,0,0,0,0.655,0.620272213854697,10.769683689577754
building_grounds,2021-02-01,Building and Grounds Cleaning,0.18,0.3,0.7,0.03,Physical task barrier,0,0,0,0.6459999999999999,0.6104494758782909,10.819512477982443
personal_care,2021-02-01,Personal Care and Service,0.22,0.15,0.85,0.03,Interpersonal barrier,0,0,0,0.6729999999999999,0.6827187125488826,10.707123469460344
sales,2021-02-01,Sales and Related,0.55,0.4,0.6,0.09,Mixed automation/augmentation,0,1,0,0.6279999999999999,0.6286252871357021,10.845020514241213
office_admin,2021-02-01,Office and Administrative Support,0.75,0.55,0.45,0.12,High displacement risk (World Bank 2025),0,1,0,0.601,0.5801870975302121,10.78832565180742
farming,2021-02-01,Farming Fishing Forestry,0.15,0.2,0.8,0.01,Physical outdoor work,0,0,0,0.6639999999999999,0.6565087128033339,10.699897591282758
construction,2021-02-01,Construction and Extraction,0.2,0.25,0.75,0.05,Physical task barrier,0,0,0,0.655,0.6450766472916054,10.636817067702875
installation,2021-02-01,Installation Maintenance Repair,0.25,0.2,0.8,0.04,Skilled manual work,0,0,0,0.6639999999999999,0.6682991498930768,10.768040834886994
production,2021-02-01,Production,0.35,0.45,0.55,0.06,Manufacturing automation exposure,0,0,0,0.619,0.6045079635233516,10.788977537311657
transportation,2021-02-01,Transportation and Material Moving,0.3,0.4,0.6,0.08,Mixed; logistics automation,0,0,0,0.6279999999999999,0.6427997542532764,10.70148866934454
management,2021-03-01,Management,0.72,0.35,0.65,0.06,Eloundou et al. 2023; high cognitive exposure,0,1,0,0.637,0.6651477718727109,10.756977189763756
business_financial,2021-03-01,Business and Financial,0.78,0.4,0.6,0.06,IMF 2024 advanced economy exposure,0,1,0,0.6279999999999999,0.6652140630694032,10.86533740681626
computer_math,2021-03-01,Computer and Mathematical,0.85,0.25,0.75,0.04,High exposure; augmentation-dominant,0,1,0,0.655,0.6499583897375082,10.800672731256526
architecture_engineering,2021-03-01,Architecture and Engineering,0.68,0.3,0.7,0.02,STEM augmentation pattern,0,1,0,0.6459999999999999,0.6207665889879915,10.684192532577155
life_physical_social,2021-03-01,Life Physical and Social Science,0.55,0.25,0.75,0.01,Research augmentation,0,1,0,0.655,0.6581072293168083,10.799238498676946
community_social,2021-03-01,Community and Social Service,0.35,0.15,0.85,0.02,Human interaction barrier,0,0,0,0.6729999999999999,0.6499279245494723,10.77333410618544
legal,2021-03-01,Legal,0.8,0.45,0.55,0.01,High LLM task exposure,0,1,0,0.619,0.6205651046011519,10.824122506443745
education,2021-03-01,Education Training Library,0.45,0.2,0.8,0.06,Partial automation; strong complementarity,0,0,0,0.6639999999999999,0.6585327909069705,10.674048823220406
arts_media,2021-03-01,Arts Design Entertainment Media,0.6,0.35,0.65,0.02,Generative AI exposure,0,1,0,0.637,0.6275962346383751,10.833285347631566
healthcare_practitioners,2021-03-01,Healthcare Practitioners,0.4,0.1,0.9,0.06,Low substitution; high complementarity,0,0,0,0.6819999999999999,0.6802332939487524,10.802031892794755
healthcare_support,2021-03-01,Healthcare Support,0.3,0.2,0.8,0.03,Physical + interpersonal tasks,0,0,0,0.6639999999999999,0.6369623126953216,10.79332297406607
protective_service,2021-03-01,Protective Service,0.25,0.15,0.85,0.02,Physical/security barrier,0,0,0,0.6729999999999999,0.6821455387947907,10.804934556530938
food_prep,2021-03-01,Food Preparation and Serving,0.2,0.25,0.75,0.07,Low cognitive; some automation,0,0,0,0.655,0.6474642110926183,10.711150804986577
building_grounds,2021-03-01,Building and Grounds Cleaning,0.18,0.3,0.7,0.03,Physical task barrier,0,0,0,0.6459999999999999,0.6640968717470291,10.764962594770338
personal_care,2021-03-01,Personal Care and Service,0.22,0.15,0.85,0.03,Interpersonal barrier,0,0,0,0.6729999999999999,0.6498683958207219,10.751933956309092
sales,2021-03-01,Sales and Related,0.55,0.4,0.6,0.09,Mixed automation/augmentation,0,1,0,0.6279999999999999,0.6466357702968465,10.73838789904081
office_admin,2021-03-01,Office and Administrative Support,0.75,0.55,0.45,0.12,High displacement risk (World Bank 2025),0,1,0,0.601,0.5968307270120315,10.826451646323312
farming,2021-03-01,Farming Fishing Forestry,0.15,0.2,0.8,0.01,Physical outdoor work,0,0,0,0.6639999999999999,0.6712169179706261,10.735317998656319
construction,2021-03-01,Construction and Extraction,0.2,0.25,0.75,0.05,Physical task barrier,0,0,0,0.655,0.6733895716614422,10.777171842126648
installation,2021-03-01,Installation Maintenance Repair,0.25,0.2,0.8,0.04,Skilled manual work,0,0,0,0.6639999999999999,0.6594393445384,10.787241065939346
production,2021-03-01,Production,0.35,0.45,0.55,0.06,Manufacturing automation exposure,0,0,0,0.619,0.5735938455213347,10.74376969067717
transportation,2021-03-01,Transportation and Material Moving,0.3,0.4,0.6,0.08,Mixed; logistics automation,0,0,0,0.6279999999999999,0.6055111292492324,10.642210145064132
management,2021-04-01,Management,0.72,0.35,0.65,0.06,Eloundou et al. 2023; high cognitive exposure,0,1,0,0.637,0.6298810898331697,10.839377919350415
business_financial,2021-04-01,Business and Financial,0.78,0.4,0.6,0.06,IMF 2024 advanced economy exposure,0,1,0,0.6279999999999999,0.6512460144783847,10.851400749179552
computer_math,2021-04-01,Computer and Mathematical,0.85,0.25,0.75,0.04,High exposure; augmentation-dominant,0,1,0,0.655,0.6426634734885104,10.809035835341804
architecture_engineering,2021-04-01,Architecture and Engineering,0.68,0.3,0.7,0.02,STEM augmentation pattern,0,1,0,0.6459999999999999,0.6607320972417697,10.809314858576993
life_physical_social,2021-04-01,Life Physical and Social Science,0.55,0.25,0.75,0.01,Research augmentation,0,1,0,0.655,0.6791455943583656,10.76723662122275
community_social,2021-04-01,Community and Social Service,0.35,0.15,0.85,0.02,Human interaction barrier,0,0,0,0.6729999999999999,0.652707678577717,10.843003822718336
legal,2021-04-01,Legal,0.8,0.45,0.55,0.01,High LLM task exposure,0,1,0,0.619,0.6259370967703504,10.796637310223003
education,2021-04-01,Education Training Library,0.45,0.2,0.8,0.06,Partial automation; strong complementarity,0,0,0,0.6639999999999999,0.6507352415354906,10.718794073981897
arts_media,2021-04-01,Arts Design Entertainment Media,0.6,0.35,0.65,0.02,Generative AI exposure,0,1,0,0.637,0.6682134016990106,10.789861426255317
healthcare_practitioners,2021-04-01,Healthcare Practitioners,0.4,0.1,0.9,0.06,Low substitution; high complementarity,0,0,0,0.6819999999999999,0.6845209520725064,10.719029941562571
healthcare_support,2021-04-01,Healthcare Support,0.3,0.2,0.8,0.03,Physical + interpersonal tasks,0,0,0,0.6639999999999999,0.6474851363195213,10.825317850060257
protective_service,2021-04-01,Protective Service,0.25,0.15,0.85,0.02,Physical/security barrier,0,0,0,0.6729999999999999,0.6591485041536898,10.658641042021822
food_prep,2021-04-01,Food Preparation and Serving,0.2,0.25,0.75,0.07,Low cognitive; some automation,0,0,0,0.655,0.6559981534669292,10.776367722799202
building_grounds,2021-04-01,Building and Grounds Cleaning,0.18,0.3,0.7,0.03,Physical task barrier,0,0,0,0.6459999999999999,0.6666469948167284,10.784008115336963
personal_care,2021-04-01,Personal Care and Service,0.22,0.15,0.85,0.03,Interpersonal barrier,0,0,0,0.6729999999999999,0.6725177630738931,10.699316943841009
sales,2021-04-01,Sales and Related,0.55,0.4,0.6,0.09,Mixed automation/augmentation,0,1,0,0.6279999999999999,0.6095974194839391,10.758272465330988
office_admin,2021-04-01,Office and Administrative Support,0.75,0.55,0.45,0.12,High displacement risk (World Bank 2025),0,1,0,0.601,0.6313201865389102,10.80426954625043
farming,2021-04-01,Farming Fishing Forestry,0.15,0.2,0.8,0.01,Physical outdoor work,0,0,0,0.6639999999999999,0.6513068697789709,10.682554248491671
construction,2021-04-01,Construction and Extraction,0.2,0.25,0.75,0.05,Physical task barrier,0,0,0,0.655,0.6547207458370634,10.761372392391774
installation,2021-04-01,Installation Maintenance Repair,0.25,0.2,0.8,0.04,Skilled manual work,0,0,0,0.6639999999999999,0.6357209044413464,10.752481691239787
production,2021-04-01,Production,0.35,0.45,0.55,0.06,Manufacturing automation exposure,0,0,0,0.619,0.6111368666430181,10.717037852810341
transportation,2021-04-01,Transportation and Material Moving,0.3,0.4,0.6,0.08,Mixed; logistics automation,0,0,0,0.6279999999999999,0.6502844380727109,10.822431805472483
management,2021-05-01,Management,0.72,0.35,0.65,0.06,Eloundou et al. 2023; high cognitive exposure,0,1,0,0.637,0.6353742041415326,10.990196262359312
business_financial,2021-05-01,Business and Financial,0.78,0.4,0.6,0.06,IMF 2024 advanced economy exposure,0,1,0,0.6279999999999999,0.6244842526265894,10.868749158020432
computer_math,2021-05-01,Computer and Mathematical,0.85,0.25,0.75,0.04,High exposure; augmentation-dominant,0,1,0,0.655,0.6625885410262573,10.814430344795154
architecture_engineering,2021-05-01,Architecture and Engineering,0.68,0.3,0.7,0.02,STEM augmentation pattern,0,1,0,0.6459999999999999,0.6568378866705555,10.803125419878949
life_physical_social,2021-05-01,Life Physical and Social Science,0.55,0.25,0.75,0.01,Research augmentation,0,1,0,0.655,0.637718482978672,10.760043213747567
community_social,2021-05-01,Community and Social Service,0.35,0.15,0.85,0.02,Human interaction barrier,0,0,0,0.6729999999999999,0.6532938061017285,10.779289097430576
legal,2021-05-01,Legal,0.8,0.45,0.55,0.01,High LLM task exposure,0,1,0,0.619,0.6040413098577833,10.870295885202372
education,2021-05-01,Education Training Library,0.45,0.2,0.8,0.06,Partial automation; strong complementarity,0,0,0,0.6639999999999999,0.6720211220950058,10.827823852353438
arts_media,2021-05-01,Arts Design Entertainment Media,0.6,0.35,0.65,0.02,Generative AI exposure,0,1,0,0.637,0.6524361674985463,10.792635934652884
healthcare_practitioners,2021-05-01,Healthcare Practitioners,0.4,0.1,0.9,0.06,Low substitution; high complementarity,0,0,0,0.6819999999999999,0.6653539451596835,10.722032596636556
healthcare_support,2021-05-01,Healthcare Support,0.3,0.2,0.8,0.03,Physical + interpersonal tasks,0,0,0,0.6639999999999999,0.702371769722278,10.721206951328481
protective_service,2021-05-01,Protective Service,0.25,0.15,0.85,0.02,Physical/security barrier,0,0,0,0.6729999999999999,0.700885097926299,10.768719010396154
food_prep,2021-05-01,Food Preparation and Serving,0.2,0.25,0.75,0.07,Low cognitive; some automation,0,0,0,0.655,0.6583230880958175,10.642543124433727
building_grounds,2021-05-01,Building and Grounds Cleaning,0.18,0.3,0.7,0.03,Physical task barrier,0,0,0,0.6459999999999999,0.6309196464309693,10.805813916224846
personal_care,2021-05-01,Personal Care and Service,0.22,0.15,0.85,0.03,Interpersonal barrier,0,0,0,0.6729999999999999,0.6957969279150186,10.742222192681165
sales,2021-05-01,Sales and Related,0.55,0.4,0.6,0.09,Mixed automation/augmentation,0,1,0,0.6279999999999999,0.6271787660386623,10.816333010650215
office_admin,2021-05-01,Office and Administrative Support,0.75,0.55,0.45,0.12,High displacement risk (World Bank 2025),0,1,0,0.601,0.605074965947591,10.832923832266264
farming,2021-05-01,Farming Fishing Forestry,0.15,0.2,0.8,0.01,Physical outdoor work,0,0,0,0.6639999999999999,0.6544052158628468,10.780215037116585
construction,2021-05-01,Construction and Extraction,0.2,0.25,0.75,0.05,Physical task barrier,0,0,0,0.655,0.6428190079902578,10.708655998007755
installation,2021-05-01,Installation Maintenance Repair,0.25,0.2,0.8,0.04,Skilled manual work,0,0,0,0.6639999999999999,0.6982233116723572,10.796457796130712
production,2021-05-01,Production,0.35,0.45,0.55,0.06,Manufacturing automation exposure,0,0,0,0.619,0.6374962493026113,10.849908837350707
transportation,2021-05-01,Transportation and Material Moving,0.3,0.4,0.6,0.08,Mixed; logistics automation,0,0,0,0.6279999999999999,0.6235938095636137,10.663751899940891
management,2021-06-01,Management,0.72,0.35,0.65,0.06,Eloundou et al. 2023; high cognitive exposure,0,1,0,0.637,0.6391200275752914,10.813325243603902
business_financial,2021-06-01,Business and Financial,0.78,0.4,0.6,0.06,IMF 2024 advanced economy exposure,0,1,0,0.6279999999999999,0.6140395621818114,10.860601413895388
computer_math,2021-06-01,Computer and Mathematical,0.85,0.25,0.75,0.04,High exposure; augmentation-dominant,0,1,0,0.655,0.6723850475351311,10.87111450932201
architecture_engineering,2021-06-01,Architecture and Engineering,0.68,0.3,0.7,0.02,STEM augmentation pattern,0,1,0,0.6459999999999999,0.6505682698388432,10.833215954831427
life_physical_social,2021-06-01,Life Physical and Social Science,0.55,0.25,0.75,0.01,Research augmentation,0,1,0,0.655,0.651545426110608,10.788487401419129
community_social,2021-06-01,Community and Social Service,0.35,0.15,0.85,0.02,Human interaction barrier,0,0,0,0.6729999999999999,0.675583564213243,10.72041021587708
legal,2021-06-01,Legal,0.8,0.45,0.55,0.01,High LLM task exposure,0,1,0,0.619,0.6071322696389847,10.827957819704425
education,2021-06-01,Education Training Library,0.45,0.2,0.8,0.06,Partial automation; strong complementarity,0,0,0,0.6639999999999999,0.6882086093174378,10.86017775623855
arts_media,2021-06-01,Arts Design Entertainment Media,0.6,0.35,0.65,0.02,Generative AI exposure,0,1,0,0.637,0.6411121985871903,10.738763220893134
healthcare_practitioners,2021-06-01,Healthcare Practitioners,0.4,0.1,0.9,0.06,Low substitution; high complementarity,0,0,0,0.6819999999999999,0.7253723695167767,10.739018896822369
healthcare_support,2021-06-01,Healthcare Support,0.3,0.2,0.8,0.03,Physical + interpersonal tasks,0,0,0,0.6639999999999999,0.633604734051861,10.737859544819935
protective_service,2021-06-01,Protective Service,0.25,0.15,0.85,0.02,Physical/security barrier,0,0,0,0.6729999999999999,0.6684014593026456,10.811008609617275
food_prep,2021-06-01,Food Preparation and Serving,0.2,0.25,0.75,0.07,Low cognitive; some automation,0,0,0,0.655,0.6325092861148349,10.755195858510811
building_grounds,2021-06-01,Building and Grounds Cleaning,0.18,0.3,0.7,0.03,Physical task barrier,0,0,0,0.6459999999999999,0.6371035179909135,10.703591955560999
personal_care,2021-06-01,Personal Care and Service,0.22,0.15,0.85,0.03,Interpersonal barrier,0,0,0,0.6729999999999999,0.6758215202939544,10.719814204252394
sales,2021-06-01,Sales and Related,0.55,0.4,0.6,0.09,Mixed automation/augmentation,0,1,0,0.6279999999999999,0.63631027011158,10.771018046158707
office_admin,2021-06-01,Office and Administrative Support,0.75,0.55,0.45,0.12,High displacement risk (World Bank 2025),0,1,0,0.601,0.5723892991590468,10.852131291866774
farming,2021-06-01,Farming Fishing Forestry,0.15,0.2,0.8,0.01,Physical outdoor work,0,0,0,0.6639999999999999,0.6299829761504719,10.73525407537069
construction,2021-06-01,Construction and Extraction,0.2,0.25,0.75,0.05,Physical task barrier,0,0,0,0.655,0.6606445567027909,10.774619394496517
installation,2021-06-01,Installation Maintenance Repair,0.25,0.2,0.8,0.04,Skilled manual work,0,0,0,0.6639999999999999,0.6604537698739741,10.767361311551381
production,2021-06-01,Production,0.35,0.45,0.55,0.06,Manufacturing automation exposure,0,0,0,0.619,0.6025290151191247,10.77732881803
transportation,2021-06-01,Transportation and Material Moving,0.3,0.4,0.6,0.08,Mixed; logistics automation,0,0,0,0.6279999999999999,0.646295762936809,10.767313600518836
management,2021-07-01,Management,0.72,0.35,0.65,0.06,Eloundou et al. 2023; high cognitive exposure,0,1,0,0.637,0.630373181178935,10.867953695227994
business_financial,2021-07-01,Business and Financial,0.78,0.4,0.6,0.06,IMF 2024 advanced economy exposure,0,1,0,0.6279999999999999,0.6221319288674845,10.802650046055197
computer_math,2021-07-01,Computer and Mathematical,0.85,0.25,0.75,0.04,High exposure; augmentation-dominant,0,1,0,0.655,0.6264411609522671,10.83035417011684
architecture_engineering,2021-07-01,Architecture and Engineering,0.68,0.3,0.7,0.02,STEM augmentation pattern,0,1,0,0.6459999999999999,0.6147140920963269,10.964348571396961
life_physical_social,2021-07-01,Life Physical and Social Science,0.55,0.25,0.75,0.01,Research augmentation,0,1,0,0.655,0.6252713632114681,10.743386241389798
community_social,2021-07-01,Community and Social Service,0.35,0.15,0.85,0.02,Human interaction barrier,0,0,0,0.6729999999999999,0.6339793823460819,10.745742763065955
legal,2021-07-01,Legal,0.8,0.45,0.55,0.01,High LLM task exposure,0,1,0,0.619,0.5633404201848621,10.721054350761342
education,2021-07-01,Education Training Library,0.45,0.2,0.8,0.06,Partial automation; strong complementarity,0,0,0,0.6639999999999999,0.674422738843997,10.776455082714476
arts_media,2021-07-01,Arts Design Entertainment Media,0.6,0.35,0.65,0.02,Generative AI exposure,0,1,0,0.637,0.6140975060039765,10.842342121587162
healthcare_practitioners,2021-07-01,Healthcare Practitioners,0.4,0.1,0.9,0.06,Low substitution; high complementarity,0,0,0,0.6819999999999999,0.641781566093495,10.771125544753023
healthcare_support,2021-07-01,Healthcare Support,0.3,0.2,0.8,0.03,Physical + interpersonal tasks,0,0,0,0.6639999999999999,0.6775505282169709,10.810888129104214
protective_service,2021-07-01,Protective Service,0.25,0.15,0.85,0.02,Physical/security barrier,0,0,0,0.6729999999999999,0.6492323284842527,10.757261482541537
food_prep,2021-07-01,Food Preparation and Serving,0.2,0.25,0.75,0.07,Low cognitive; some automation,0,0,0,0.655,0.6763840342285189,10.814519408679525
building_grounds,2021-07-01,Building and Grounds Cleaning,0.18,0.3,0.7,0.03,Physical task barrier,0,0,0,0.6459999999999999,0.6656708121112954,10.770113706908909
personal_care,2021-07-01,Personal Care and Service,0.22,0.15,0.85,0.03,Interpersonal barrier,0,0,0,0.6729999999999999,0.6440148641296299,10.745780538646653
sales,2021-07-01,Sales and Related,0.55,0.4,0.6,0.09,Mixed automation/augmentation,0,1,0,0.6279999999999999,0.581839287217477,10.795406399466131
office_admin,2021-07-01,Office and Administrative Support,0.75,0.55,0.45,0.12,High displacement risk (World Bank 2025),0,1,0,0.601,0.6136470844130675,10.893986585956714
farming,2021-07-01,Farming Fishing Forestry,0.15,0.2,0.8,0.01,Physical outdoor work,0,0,0,0.6639999999999999,0.6619561223361132,10.778479733531318
construction,2021-07-01,Construction and Extraction,0.2,0.25,0.75,0.05,Physical task barrier,0,0,0,0.655,0.662770783242795,10.770306854892482
installation,2021-07-01,Installation Maintenance Repair,0.25,0.2,0.8,0.04,Skilled manual work,0,0,0,0.6639999999999999,0.6407514134111001,10.716502639576376
production,2021-07-01,Production,0.35,0.45,0.55,0.06,Manufacturing automation exposure,0,0,0,0.619,0.5910761849283112,10.780857135128262
transportation,2021-07-01,Transportation and Material Moving,0.3,0.4,0.6,0.08,Mixed; logistics automation,0,0,0,0.6279999999999999,0.6262528316256983,10.74613729433302
management,2021-08-01,Management,0.72,0.35,0.65,0.06,Eloundou et al. 2023; high cognitive exposure,0,1,0,0.637,0.6401968417450351,10.787893903552883
business_financial,2021-08-01,Business and Financial,0.78,0.4,0.6,0.06,IMF 2024 advanced economy exposure,0,1,0,0.6279999999999999,0.6221841747850382,10.840125417627574
computer_math,2021-08-01,Computer and Mathematical,0.85,0.25,0.75,0.04,High exposure; augmentation-dominant,0,1,0,0.655,0.6450870692561224,10.877107052941776
architecture_engineering,2021-08-01,Architecture and Engineering,0.68,0.3,0.7,0.02,STEM augmentation pattern,0,1,0,0.6459999999999999,0.6324505889797752,10.866516966175283
life_physical_social,2021-08-01,Life Physical and Social Science,0.55,0.25,0.75,0.01,Research augmentation,0,1,0,0.655,0.6768504602669487,10.78349681444053
community_social,2021-08-01,Community and Social Service,0.35,0.15,0.85,0.02,Human interaction barrier,0,0,0,0.6729999999999999,0.6888986969165729,10.756521355887669
legal,2021-08-01,Legal,0.8,0.45,0.55,0.01,High LLM task exposure,0,1,0,0.619,0.6041681660318633,10.786061916438863
education,2021-08-01,Education Training Library,0.45,0.2,0.8,0.06,Partial automation; strong complementarity,0,0,0,0.6639999999999999,0.662936616410656,10.798148274132329
arts_media,2021-08-01,Arts Design Entertainment Media,0.6,0.35,0.65,0.02,Generative AI exposure,0,1,0,0.637,0.6420642558809214,10.820135012537088
healthcare_practitioners,2021-08-01,Healthcare Practitioners,0.4,0.1,0.9,0.06,Low substitution; high complementarity,0,0,0,0.6819999999999999,0.636638837830985,10.742703330186934
healthcare_support,2021-08-01,Healthcare Support,0.3,0.2,0.8,0.03,Physical + interpersonal tasks,0,0,0,0.6639999999999999,0.692651677373177,10.727107991509993
protective_service,2021-08-01,Protective Service,0.25,0.15,0.85,0.02,Physical/security barrier,0,0,0,0.6729999999999999,0.6815362644697706,10.711939395247084
food_prep,2021-08-01,Food Preparation and Serving,0.2,0.25,0.75,0.07,Low cognitive; some automation,0,0,0,0.655,0.6933678315402246,10.687007495162911
building_grounds,2021-08-01,Building and Grounds Cleaning,0.18,0.3,0.7,0.03,Physical task barrier,0,0,0,0.6459999999999999,0.6357308920323086,10.722619728119152
personal_care,2021-08-01,Personal Care and Service,0.22,0.15,0.85,0.03,Interpersonal barrier,0,0,0,0.6729999999999999,0.6668137549391726,10.743356643555805
sales,2021-08-01,Sales and Related,0.55,0.4,0.6,0.09,Mixed automation/augmentation,0,1,0,0.6279999999999999,0.5839931310903228,10.797053209501259
office_admin,2021-08-01,Office and Administrative Support,0.75,0.55,0.45,0.12,High displacement risk (World Bank 2025),0,1,0,0.601,0.6077599969317676,10.845561264626662
farming,2021-08-01,Farming Fishing Forestry,0.15,0.2,0.8,0.01,Physical outdoor work,0,0,0,0.6639999999999999,0.6744704614056053,10.674951662042224
construction,2021-08-01,Construction and Extraction,0.2,0.25,0.75,0.05,Physical task barrier,0,0,0,0.655,0.6496741519104727,10.732680828748773
installation,2021-08-01,Installation Maintenance Repair,0.25,0.2,0.8,0.04,Skilled manual work,0,0,0,0.6639999999999999,0.6412471633295989,10.720932940882449
production,2021-08-01,Production,0.35,0.45,0.55,0.06,Manufacturing automation exposure,0,0,0,0.619,0.6475642159580315,10.764207749484207
transportation,2021-08-01,Transportation and Material Moving,0.3,0.4,0.6,0.08,Mixed; logistics automation,0,0,0,0.6279999999999999,0.6192550826524196,10.665225524655657
management,2021-09-01,Management,0.72,0.35,0.65,0.06,Eloundou et al. 2023; high cognitive exposure,0,1,0,0.637,0.6315413355554703,10.822394701927676
business_financial,2021-09-01,Business and Financial,0.78,0.4,0.6,0.06,IMF 2024 advanced economy exposure,0,1,0,0.6279999999999999,0.5780314113677052,10.850285869800695
